key,counts,ststa_ucount,ensta_ucount,br,ut_sub,ut_cu,counts1,spd_avg,spd_max,visb_avg,visb_max,temp_avg,temp_max,prcp_avg,prcp_max
2016 10 30,37765,588,591,1978.815074937832,29362,7704,39,4.957894736842103,14.4,15652.394736842105,16093.0,18.48157894736843,22.8,0.16666666666666666,2.0
2014 3 12,15101,330,330,1974.5658686730505,14620,481,39,5.1342105263157904,10.3,12803.552631578947,16093.0,8.410526315789474,12.8,0.11935483870967742,1.3
2017 4 9,43896,593,597,1979.92703494393,32665,11231,33,4.818750000000001,9.3,16069.75,16093.0,10.590625,15.6,0.0,0.0
2014 6 19,31724,326,324,1975.7476444777033,29401,2323,33,3.321874999999999,6.7,16019.46875,16093.0,23.66249999999999,31.1,0.10689655172413792,0.8
2016 11 17,53895,589,591,1977.5299517568703,51335,2192,33,4.931249999999999,8.8,16069.75,16093.0,13.059375,17.2,0.0,0.0
2017 7 23,46942,607,609,1980.8059772673078,36129,10813,38,3.132432432432432,6.2,13140.72972972973,16093.0,24.094594594594593,26.7,2.359375,24.0
2017 12 17,22403,723,727,1979.18998224465,21491,912,34,2.6515151515151505,5.7,16070.454545454546,16093.0,1.4636363636363647,3.9,0.0,0.0
2017 1 5,28393,597,600,1976.5509819552142,27711,573,32,8.954838709677418,12.9,16072.0,16093.0,0.7741935483870971,7.8,0.0,0.0
2017 1 31,25169,596,598,1977.201607366423,24907,226,48,3.7723404255319113,6.7,11320.191489361701,16093.0,-1.327659574468086,1.1,0.0857142857142857,0.8
2017 2 10,1997,249,456,1978.7232960325534,1971,16,33,8.406250000000002,12.9,16069.75,16093.0,-4.171874999999998,-0.6,0.9884615384615386,18.8
2014 2 5,2746,307,307,1975.980882352941,2720,26,56,4.816363636363635,8.8,8165.636363636364,16093.0,0.2709090909090909,1.7,2.31875,18.0
2017 3 27,26301,599,601,1977.6284946023964,25375,791,44,3.193023255813951,6.2,6473.232558139535,16093.0,7.455813953488371,13.9,0.5472222222222222,4.0
2014 2 19,8506,321,321,1975.3542531735675,8429,77,40,3.3230769230769215,6.7,10950.589743589744,16093.0,2.515384615384616,6.0,0.9677419354838711,6.0
2014 3 20,19695,330,330,1974.5236889310963,18954,741,43,6.614285714285716,11.3,12175.52380952381,16093.0,8.099999999999998,12.8,2.1181818181818177,18.3
2014 6 10,33435,324,323,1975.535455394826,31039,2396,51,2.1653061224489787,5.1,12751.244897959185,16093.0,21.20816326530612,25.0,1.5037037037037038,24.1
2014 6 24,35897,327,324,1975.8677436855749,33178,2719,33,5.687500000000003,11.3,16069.75,16093.0,21.890624999999996,25.6,0.0,0.0
2017 2 1,35221,600,602,1977.0528335901836,34611,516,33,4.66875,8.2,15429.71875,16093.0,3.55625,8.3,0.12592592592592594,1.3
2017 5 2,61207,604,607,1978.2928361884756,54750,6457,41,8.827499999999999,12.4,12005.625,16093.0,18.285,24.4,0.07142857142857142,0.5
2014 1 3,1144,289,288,1975.4968833481746,1123,21,43,10.026190476190479,14.9,5377.738095238095,16093.0,-8.814285714285713,-3.9,0.6275000000000002,4.0
2014 2 4,8709,323,323,1975.0877782931354,8624,85,36,3.5399999999999983,6.2,16014.6,16093.0,-1.6771428571428573,1.1,1.7833333333333334,27.4
2014 2 22,13044,325,326,1976.9107940873153,11636,1408,33,5.278124999999998,9.3,15367.15625,16093.0,5.609375,11.7,0.36666666666666664,3.6
2014 7 17,38619,326,326,1976.0244812574208,35377,3242,33,3.7218749999999994,6.2,16069.75,16093.0,23.81875000000001,26.7,0.023076923076923075,0.3
2016 12 7,38021,598,600,1977.196986939793,37121,764,44,4.248837209302323,7.2,12505.906976744185,16093.0,6.351162790697672,8.3,1.1949999999999998,9.4
